timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-11-25,1365.05,1372.15,1353.5,1354.5,1354.5,9976,0.0000,1.0
2020-11-24,1375.0,1379.0,1358.0,1362.15,1362.15,12003,0.0000,1.0
2020-11-23,1371.85,1371.85,1357.45,1362.15,1362.15,15051,0.0000,1.0
2020-11-20,1385.0,1398.0,1362.0,1380.05,1380.05,23100,0.0000,1.0
2020-11-19,1356.0,1378.0,1356.0,1375.7,1375.7,37870,0.0000,1.0
2020-11-18,1355.1,1369.8,1350.95,1365.3,1365.3,39952,0.0000,1.0
2020-11-17,1398.65,1405.9,1372.55,1381.6,1381.6,22339,0.0000,1.0
2020-11-13,1376.0,1402.35,1365.5,1388.55,1388.55,26324,0.0000,1.0
2020-11-12,1371.4,1399.5,1356.2,1380.85,1380.85,61965,0.0000,1.0
2020-11-11,1393.0,1407.0,1343.25,1371.35,1371.35,37099,0.0000,1.0
2020-11-10,1329.8,1417.7,1315.0,1374.25,1374.25,277765,0.0000,1.0
2020-11-09,1320.0,1321.95,1311.1,1312.9,1312.9,11093,0.0000,1.0
2020-11-06,1317.5,1318.8,1308.55,1310.95,1310.95,18722,0.0000,1.0
2020-11-05,1308.0,1316.0,1303.9,1310.75,1310.75,8053,0.0000,1.0
2020-11-04,1292.0,1308.0,1291.0,1300.35,1300.35,25825,0.0000,1.0
2020-11-03,1300.0,1312.2,1300.0,1301.8,1301.8,22223,0.0000,1.0
2020-11-02,1314.4,1322.0,1301.0,1302.45,1302.45,26510,0.0000,1.0
2020-10-30,1325.0,1330.0,1313.0,1315.55,1315.55,5749,0.0000,1.0
2020-10-29,1320.0,1332.2,1312.6,1330.2,1330.2,7736,0.0000,1.0
2020-10-28,1326.0,1339.15,1309.85,1333.0,1333.0,9059,0.0000,1.0
2020-10-27,1328.9,1328.9,1296.0,1325.6,1325.6,9028,0.0000,1.0
2020-10-26,1330.0,1330.9,1317.8,1320.25,1320.25,9184,0.0000,1.0
2020-10-23,1327.0,1334.9,1327.0,1327.8,1327.8,14603,0.0000,1.0
2020-10-22,1338.0,1338.0,1326.15,1328.0,1328.0,7218,0.0000,1.0
2020-10-21,1339.0,1343.75,1328.35,1331.2,1331.2,7198,0.0000,1.0
2020-10-20,1326.8,1342.45,1326.6,1332.05,1332.05,8618,0.0000,1.0
2020-10-19,1330.0,1335.0,1325.1,1326.8,1326.8,19979,2.5000,1.0
2020-10-16,1329.05,1340.65,1324.8,1328.55,1326.05,8298,0.0000,1.0
2020-10-15,1342.65,1347.0,1325.65,1329.05,1326.5491,36483,0.0000,1.0
2020-10-14,1352.0,1357.0,1330.0,1338.1,1335.582,33973,0.0000,1.0
2020-10-13,1339.0,1348.0,1334.55,1336.65,1334.1348,9111,0.0000,1.0
2020-10-12,1352.05,1370.0,1330.8,1334.55,1332.0387,54385,0.0000,1.0
2020-10-09,1355.0,1364.9,1348.55,1351.0,1348.4578,24257,0.0000,1.0
2020-10-08,1361.6,1369.75,1351.0,1355.8,1353.2487,34945,0.0000,1.0
2020-10-07,1365.0,1376.5,1350.0,1358.05,1355.4945,18915,0.0000,1.0
2020-10-06,1369.95,1372.0,1360.0,1363.35,1360.7845,16013,0.0000,1.0
2020-10-05,1387.0,1390.05,1356.4,1375.55,1372.9616,39759,0.0000,1.0
2020-10-01,1410.0,1410.0,1373.0,1379.9,1377.3034,15906,0.0000,1.0
2020-09-30,1389.8,1417.25,1368.55,1382.1,1379.4992,35578,0.0000,1.0
2020-09-29,1375.0,1394.5,1363.55,1383.15,1380.5473,14778,0.0000,1.0
2020-09-28,1355.05,1372.0,1353.65,1366.6,1364.0284,33127,0.0000,1.0
2020-09-25,1364.95,1364.95,1340.35,1352.95,1350.4041,16117,0.0000,1.0
2020-09-24,1359.8,1365.05,1332.0,1337.85,1335.3325,18048,0.0000,1.0
2020-09-23,1374.95,1377.0,1353.1,1372.55,1369.9672,57441,0.0000,1.0
2020-09-22,1390.0,1390.0,1331.0,1356.2,1353.648,24117,0.0000,1.0
2020-09-21,1429.0,1429.0,1380.15,1396.95,1394.3213,59644,0.0000,1.0
2020-09-18,1374.35,1420.0,1371.0,1403.85,1401.2083,121080,0.0000,1.0
2020-09-17,1368.0,1374.9,1359.5,1371.4,1368.8194,9509,0.0000,1.0
2020-09-16,1372.05,1375.25,1362.6,1366.8,1364.228,13728,0.0000,1.0
